Temp (C),Resistance (Ohms)
-32.60,"208,273.25"
-32.55,"207,616.40"
-32.50,"206,961.85"
-32.45,"206,309.58"
-32.40,"205,659.58"
-32.35,"205,011.86"
-32.30,"204,366.39"
-32.25,"203,723.18"
-32.20,"203,082.21"
-32.15,"202,443.47"
-32.10,"201,806.96"
-32.05,"201,172.66"
-32.00,"200,540.58"
-31.95,"199,910.69"
-31.90,"199,283.00"
-31.85,"198,657.48"
-31.80,"198,034.15"
-31.75,"197,412.98"
-31.70,"196,793.97"
-31.65,"196,177.11"
-31.60,"195,562.39"
-31.55,"194,949.81"
-31.50,"194,339.35"
-31.45,"193,731.01"
-31.40,"193,124.78"
-31.35,"192,520.65"
-31.30,"191,918.62"
-31.25,"191,318.67"
-31.20,"190,720.80"
-31.15,"190,125.00"
-31.10,"189,531.26"
-31.05,"188,939.58"
-31.00,"188,349.94"
-30.95,"187,762.35"
-30.90,"187,176.78"
-30.85,"186,593.24"
-30.80,"186,011.72"
-30.75,"185,432.20"
-30.70,"184,854.69"
-30.65,"184,279.16"
-30.60,"183,705.63"
-30.55,"183,134.07"
-30.50,"182,564.49"
-30.45,"181,996.86"
-30.40,"181,431.20"
-30.35,"180,867.48"
-30.30,"180,305.70"
-30.25,"179,745.86"
-30.20,"179,187.95"
-30.15,"178,631.95"
-30.10,"178,077.87"
-30.05,"177,525.69"
-30.00,"176,975.41"
-29.95,"176,427.02"
-29.90,"175,880.52"
-29.85,"175,335.89"
-29.80,"174,793.13"
-29.75,"174,252.24"
-29.70,"173,713.20"
-29.65,"173,176.01"
-29.60,"172,640.66"
-29.55,"172,107.14"
-29.50,"171,575.46"
-29.45,"171,045.59"
-29.40,"170,517.54"
-29.35,"169,991.30"
-29.30,"169,466.86"
-29.25,"168,944.21"
-29.20,"168,423.35"
-29.15,"167,904.27"
-29.10,"167,386.96"
-29.05,"166,871.43"
-29.00,"166,357.65"
-28.95,"165,845.63"
-28.90,"165,335.35"
-28.85,"164,826.82"
-28.80,"164,320.02"
